date,Power Consumption,Outdoor Temperature,Occupancy
2018-05-24 00:45:00,68.50000038,12.06,0
2018-05-24 01:00:00,43.39999986,12.48,0
2018-05-24 01:15:00,56.34666661,12.44,0
2018-05-24 01:30:00,53.32333293,12.54,0
2018-05-24 01:45:00,51.30000033,12.19,0
2018-05-24 02:00:00,38.0000004,12.1,0
2018-05-24 02:15:00,78.50000029,12.24,0
2018-05-24 02:30:00,75.69999953,11.72,0
2018-05-24 02:45:00,98.29999986,11.57,0
2018-05-24 03:00:00,53.50000043,11.41,0
2018-05-24 03:15:00,72.82999963,11.05,0
2018-05-24 03:30:00,55.80000043,10.82,0
2018-05-24 03:45:00,58.29999926,10.62,0
2018-05-24 04:00:00,73.28000038,10.6,0
2018-05-24 04:15:00,81.48999944,10.47,0
2018-05-24 04:30:00,80.68999927,10.54,0
2018-05-24 04:45:00,78.09999998,10.43,0
2018-05-24 05:00:00,72.50000076,10.39,0
2018-05-24 05:15:00,74.17999998,10.45,0
2018-05-24 05:30:00,72.89999922,10.46,0
2018-05-24 05:45:00,74.79000017,10.39,0
2018-05-24 06:00:00,52.30000017,10.36,10
2018-05-24 06:15:00,50.79999979,10.21,10
2018-05-24 06:30:00,71.19999986,10.14,8
2018-05-24 06:45:00,75.89999981,10.17,8
2018-05-24 07:00:00,69.39000017,10.07,12
2018-05-24 07:15:00,68.40000033,10.11,15
2018-05-24 07:30:00,66.90000038,10.04,13
2018-05-24 07:45:00,67.29000019,9.97,15
2018-05-24 08:00:00,67.8899996,9.74,23
2018-05-24 08:15:00,96.40000041,9.69,35
2018-05-24 08:30:00,66.26999953,9.61,34
2018-05-24 08:45:00,69.49999962,9.69,30
2018-05-24 09:00:00,72.19999962,9.68,30
2018-05-24 09:15:00,66.79999962,9.67,26
2018-05-24 09:30:00,65.57999958,9.57,25
2018-05-24 09:45:00,63.79000038,9.54,33
2018-05-24 10:00:00,66.29000014,9.59,40
2018-05-24 10:15:00,64.48999998,9.6,49
2018-05-24 10:30:00,64.4999996,9.65,52
2018-05-24 10:45:00,72.80000036,9.78,52
2018-05-24 11:00:00,76.19999995,9.79,54
2018-05-24 11:15:00,77.10000074,9.83,57
2018-05-24 11:30:00,67.3499996,9.8,39
2018-05-24 11:45:00,66.90000019,9.73,40
2018-05-24 12:00:00,67.20000019,9.78,51
2018-05-24 12:15:00,65.29000003,9.9,48
2018-05-24 12:30:00,65.42999961,9.84,50
2018-05-24 12:45:00,67.08999996,9.89,55
2018-05-24 13:00:00,70.84999973,9.88,54
2018-05-24 13:15:00,73.20000038,9.89,59
2018-05-24 13:30:00,75.48999986,9.87,62
2018-05-24 13:45:00,69.09999972,9.92,61
2018-05-24 14:00:00,76.95000024,10.02,60
2018-05-24 14:15:00,100.4999998,10.02,67
2018-05-24 14:30:00,80.10000024,10.08,71
2018-05-24 14:45:00,54.09000019,10.05,72
2018-05-24 15:00:00,83.41499956,9.95,80
2018-05-24 15:15:00,97.54000005,9.93,77
2018-05-24 15:30:00,85.37500021,10,70
2018-05-24 15:45:00,112.0900002,10.28,74
2018-05-24 16:00:00,92.88999958,10.21,75
2018-05-24 16:15:00,70.59999943,10.36,65
2018-05-24 16:30:00,94.46333414,10.49,58
2018-05-24 16:45:00,120.0266668,10.64,59
2018-05-24 17:00:00,111.9900003,10.68,50
2018-05-24 17:15:00,69.70000066,10.64,48
2018-05-24 17:30:00,108.5399994,10.9,43
2018-05-24 17:45:00,131.7800007,10.97,45
2018-05-24 18:00:00,115.9200006,11.1,40
2018-05-24 18:15:00,67.63999952,11.42,40
2018-05-24 18:30:00,87.58000105,11.57,39
2018-05-24 18:45:00,106.5799996,11.47,37
2018-05-24 19:00:00,127.3000007,11.64,35
2018-05-24 19:15:00,111.8000004,11.47,34
2018-05-24 19:30:00,115.9499998,11.59,35
2018-05-24 19:45:00,137.4000009,11.66,36
2018-05-24 20:00:00,91.4000009,11.98,36
2018-05-24 20:15:00,97.89999934,12.2,34
2018-05-24 20:30:00,86.29000048,11.78,32
2018-05-24 20:45:00,103.6999994,12.09,31
2018-05-24 21:00:00,95.40000076,12.11,40
2018-05-24 21:15:00,108.0999992,12.94,34
2018-05-24 21:30:00,99.83166592,13.51,28
2018-05-24 21:45:00,91.56333269,13.45,25
2018-05-24 22:00:00,83.29499944,13.63,26
2018-05-24 22:15:00,75.02666617,13.79,35
2018-05-24 22:30:00,66.75833294,13.71,38
2018-05-24 22:45:00,58.48999969,13.6,30
2018-05-24 23:00:00,57.79999962,12.76,26
2018-05-24 23:15:00,59.39999962,12.22,30
2018-05-24 23:30:00,81.70000033,11.66,26
2018-05-24 23:45:00,75.66666646,11.57,23
2018-05-25 00:00:00,99.73333378,11.51,1
2018-05-25 00:15:00,101.2,11.42,0
2018-05-25 00:30:00,55.30000014,11.45,4
2018-05-25 00:45:00,51.79000024,11.59,4
2018-05-25 01:00:00,51.49999988,11.92,2
2018-05-25 01:15:00,47.5333336,12.07,2
2018-05-25 01:30:00,48.06666709,11.77,2
2018-05-25 01:45:00,47.49000024,11.69,3
2018-05-25 02:00:00,45.60000012,11.68,2
2018-05-25 02:15:00,90.10000038,11.39,3
2018-05-25 02:30:00,50.19999965,11.27,1
2018-05-25 02:45:00,49.37999963,11,0
2018-05-25 03:00:00,76.12333369,10.87,0
2018-05-25 03:15:00,48.15666662,10.74,0
2018-05-25 03:30:00,50.99999967,10.71,0
2018-05-25 03:45:00,67.00000017,10.65,0
2018-05-25 04:00:00,65.99000031,10.57,0
2018-05-25 04:15:00,70.08999958,10.59,0
2018-05-25 04:30:00,71.18999967,10.46,0
2018-05-25 04:45:00,65.99999957,10.46,0
2018-05-25 05:00:00,75.1999996,10.44,0
2018-05-25 05:15:00,63.40000043,10.44,0
2018-05-25 05:30:00,46.79999998,10.47,0
2018-05-25 05:45:00,45.47999956,10.53,1
2018-05-25 06:00:00,45.00000024,10.42,2
2018-05-25 06:15:00,47.10000014,10.39,1
2018-05-25 06:30:00,64.29999965,10.29,2
2018-05-25 06:45:00,64.09000005,10.33,4
2018-05-25 07:00:00,44.59999998,10.27,4
2018-05-25 07:15:00,63.00000005,10.18,6
2018-05-25 07:30:00,64.69999967,10.29,6
2018-05-25 07:45:00,44.70000024,10.3,6
2018-05-25 08:00:00,45.36500034,10.27,8
2018-05-25 08:15:00,45.34999967,10.23,14
2018-05-25 08:30:00,45.71499956,10.24,18
2018-05-25 08:45:00,60.68999967,10.26,21
2018-05-25 09:00:00,60.59999965,10.27,22
2018-05-25 09:15:00,45.99999964,10.27,30
2018-05-25 09:30:00,46.4,10.31,34
2018-05-25 09:45:00,61.70000003,10.32,30
2018-05-25 10:00:00,46.70000033,10.27,37
2018-05-25 10:15:00,44.99000003,10.29,41
2018-05-25 10:30:00,44.29000022,10.43,38
2018-05-25 10:45:00,51.40000017,10.41,36
2018-05-25 11:00:00,71.88000003,10.49,36
2018-05-25 11:15:00,64.29000019,10.46,40
2018-05-25 11:30:00,45.90000043,10.43,36
2018-05-25 11:45:00,45.48999958,10.44,39
2018-05-25 12:00:00,44.29999964,10.37,28
2018-05-25 12:15:00,62.57999953,10.37,24
2018-05-25 12:30:00,45.59999995,10.44,32
2018-05-25 12:45:00,44.30000017,10.46,31
2018-05-25 13:00:00,51.2999999,10.45,40
2018-05-25 13:15:00,69.20000024,10.44,43
2018-05-25 13:30:00,74.89999967,10.44,43
2018-05-25 13:45:00,70.89000006,10.56,42
2018-05-25 14:00:00,52.89999962,10.59,44
2018-05-25 14:15:00,69.19000057,10.55,43
2018-05-25 14:30:00,94.24999972,10.43,47
2018-05-25 14:45:00,103.1000003,10.42,43
2018-05-25 15:00:00,94.09999986,10.29,39
2018-05-25 15:15:00,78.78999981,10.65,33
2018-05-25 15:30:00,98.22999998,10.99,30
2018-05-25 15:45:00,72.48999986,11.23,28
2018-05-25 16:00:00,85.55000045,11.32,30
2018-05-25 16:15:00,104.5000008,11.53,22
2018-05-25 16:30:00,103.2000003,11.74,25
2018-05-25 16:45:00,125.1000005,12.19,25
2018-05-25 17:00:00,113.790001,11.93,22
2018-05-25 17:15:00,65.71499995,12.1,26
2018-05-25 17:30:00,105.8499991,12.07,20
2018-05-25 17:45:00,122.8749998,12.27,16
2018-05-25 18:00:00,79.69999952,12.85,15
2018-05-25 18:15:00,80.99999967,12.66,16
2018-05-25 18:30:00,92.50000067,12.78,13
2018-05-25 18:45:00,96.63499917,12.69,16
2018-05-25 19:00:00,138.0900002,12.61,16
2018-05-25 19:15:00,93.59999914,12.22,14
2018-05-25 19:30:00,91.89000057,12.2,15
2018-05-25 19:45:00,87.7900001,12.08,14
2018-05-25 20:00:00,91.40000048,12.46,19
2018-05-25 20:15:00,95.65000043,12.39,22
2018-05-25 20:30:00,119.7000005,12.04,24
2018-05-25 20:45:00,81.94499993,11.9,22
2018-05-25 21:00:00,98.19000101,11.74,21
2018-05-25 21:15:00,101.5900004,12.23,19
2018-05-25 21:30:00,116.5999999,12.58,14
2018-05-25 21:45:00,79.84000095,12.45,14
2018-05-25 22:00:00,79.38000029,12.27,10
2018-05-25 22:15:00,98.19000029,13.86,9
2018-05-25 22:30:00,54.7,14.57,6
2018-05-25 22:45:00,53.48999981,14.16,5
2018-05-25 23:00:00,90.58,14.23,4
2018-05-25 23:15:00,53.59999957,13.67,6
2018-05-25 23:30:00,54.79999981,13.75,6
2018-05-25 23:45:00,87.69999976,13.56,6
2018-05-26 00:00:00,52.38999943,13.51,0
2018-05-26 00:15:00,97.77999992,13.41,0
2018-05-26 00:30:00,71.79000001,12.96,0
2018-05-26 00:45:00,71.07999968,12.99,1
2018-05-26 01:00:00,93.38000006,12.47,0
2018-05-26 01:15:00,67.40000017,11.98,0
2018-05-26 01:30:00,67.78999962,11.76,0
2018-05-26 01:45:00,49.39999962,11.8,0
2018-05-26 02:00:00,69.9900002,11.87,1
2018-05-26 02:15:00,50.90000024,11.83,1
2018-05-26 02:30:00,48.60000022,11.66,1
2018-05-26 02:45:00,65.68999967,11.42,1
2018-05-26 03:00:00,65.84,11.37,0
2018-05-26 03:15:00,66.09000019,11.24,0
2018-05-26 03:30:00,66.40000043,11.16,0
2018-05-26 03:45:00,66.77999964,11.15,0
2018-05-26 04:00:00,64.39000022,11.07,0
2018-05-26 04:15:00,69.70000022,10.97,0
2018-05-26 04:30:00,73.60000041,10.92,0
2018-05-26 04:45:00,64.80000019,11.01,0
2018-05-26 05:00:00,68.3899996,10.93,0
2018-05-26 05:15:00,68.10000022,10.92,0
2018-05-26 05:30:00,64.05000003,11,0
2018-05-26 05:45:00,67.00000017,11.08,0
2018-05-26 06:00:00,69.10000041,10.83,0
2018-05-26 06:15:00,66.20000041,10.68,0
2018-05-26 06:30:00,68.28999963,10.7,0
2018-05-26 06:45:00,70.00000038,10.75,0
2018-05-26 07:00:00,64.49999957,10.65,0
2018-05-26 07:15:00,63.58999963,10.49,0
2018-05-26 07:30:00,45.39000024,10.56,0
2018-05-26 07:45:00,44.30000022,10.49,0
2018-05-26 08:00:00,62.80000043,10.52,0
2018-05-26 08:15:00,45.68999961,10.48,0
2018-05-26 08:30:00,63.98000038,10.35,0
2018-05-26 08:45:00,70.58999961,10.48,0
2018-05-26 09:00:00,98.39000041,10.57,0
2018-05-26 09:15:00,67.38999954,10.63,0
2018-05-26 09:30:00,69.59,10.69,0
2018-05-26 09:45:00,68.29000003,10.68,0
2018-05-26 10:00:00,67.58999963,10.66,0
2018-05-26 10:15:00,47.17999996,10.66,0
2018-05-26 10:30:00,47.20000024,10.56,0
2018-05-26 10:45:00,64.44000005,10.44,0
2018-05-26 11:00:00,69.89999957,10.37,0
2018-05-26 11:15:00,73.20000005,10.48,0
2018-05-26 11:30:00,67.29999957,10.52,0
2018-05-26 11:45:00,45.30000024,10.51,0
2018-05-26 12:00:00,64.34000005,10.44,0
2018-05-26 12:15:00,63.58999965,10.47,0
2018-05-26 12:30:00,68.69999967,10.51,0
2018-05-26 12:45:00,54.68999961,10.54,0
2018-05-26 13:00:00,56.69999967,10.53,0
2018-05-26 13:15:00,59.30000024,10.56,0
2018-05-26 13:30:00,60.78999954,10.61,0
2018-05-26 13:45:00,52.50000038,10.62,0
2018-05-26 14:00:00,53.08999963,10.64,0
2018-05-26 14:15:00,53.87500015,10.81,0
2018-05-26 14:30:00,55.73999961,10.96,0
2018-05-26 14:45:00,60.81499937,10.91,0
2018-05-26 15:00:00,61.60000033,11.06,0
2018-05-26 15:15:00,63.00000074,11.19,0
2018-05-26 15:30:00,67.19999996,11.22,0
